Title,Genre,Language,Platform,Mood,Runtime,Rating,Description
Happy Ending,Comedy,hindi,Eros Now,Romantic,134,7,A confused writer goes on the search for inspiration for his next story and falls in love with a best seller author who doesn't believe in love.
English Vinglish,Drama,hindi,JioHotstar,Action,133,9,"English Vinglish is a heart-touching Hindi family drama movie about Sashi Godbole (Sridevi) who is an insecure & under confident middle-class housewife. Her struggle to speak & understand English is ridiculed by her own family. Watch English Vinglish to witness the transformation of Sashi, who tries to overcome this language barrier and eventually turn into a much more confident woman."
Saadi Love Story,Comedy,punjabi,Zee,Drama,109,7,"Preeti's sister is hospitalized after an accident, and two men show up claiming to be her fiance."
Ra.One,Action,hindi,Sony,Comedy,155,9,"Ra One is a Hindi Sci-Fi movie about Shekhar (Shah Rukh Khan) a gaming programmer, who develops an indestructible virtual character named Ra.One (Arjun Rampal). Soon, fiction turns to reality when Ra.One enters the real world to kill Shekhar & his son Prateek. Another virtual character G.One comes to rescue Prateek & Sonia (Kareena Kapoor). Watch Ra.One to know about the winner of final battle?"
Manmarziyaan,Romance,hindi,ETV,Horror,155,9,"Manmarziyaan is Hindi romantic drama movie about an candid Punjabi girl Rumi (Taapsee Pannu) who is madly in love with Vicky (Vicky Kaushal). He is commitment phobic & fails to give a long term promise to Rumi. On the other hand, Rumi's parents pressure her for marriage and she agrees to marry Robbie (Abhishek Bachchan). Watch Manmarziyaan to know what happens to Rumi & Vicky's relationship..."
Money Hai Toh Honey Hai,Comedy,hindi,Eros Now,Romantic,137,6,"Six struggling aspirants get an SMS informing them that they are now the owners of an INR 1,000-crore company. But, the company has a loan of INR 1,200 crore, which they will have to repay."
No Problem,Comedy,hindi,JioHotstar,Action,134,7,Raj and Yash have conned Zandulal and fled to Durban. Now Zandulal takes the help of inspector Arjun to catch them but ends up in messy situations instead.
Partner,Comedy,hindi,Zee,Drama,142,9,"Partner is a Hindi rom-com movie about Bhaskar (Govinda) who is in love with his boss Priya (Katrina Kaif). Bhaskar takes tips from 'Love Guru' Prem (Salman Khan), who believes he knows everything about women and way to their hearts. However, both of them keep failing to woo their ladies and always end up in funny misunderstanding. Watch Partner to see how they try and impress their lady love!"
Shirin Farhad Ki Toh Nikal Padi,Comedy,hindi,Sony,Comedy,111,9,A middle aged Parsi couple find love at the most unexpected places and...time!
Shubh Mangal Saavdhan,Comedy,hindi,ETV,Horror,104,9,"Shubh Mangal Saavdhan is a romantic comedy movie about Mudit Sharma (Ayushmann Khurrana) & Sugandha (Bhumi Pednekar). This Hindi movie displays the strong bond between the couple. A few days before their wedding, Mudit encounters a personal problem, the issue gets so big that it is escalated to their extended families. Watch Shubh Mangal Saavdhan to see what happens next in their lives..."
Chintu Ji,Comedy,hindi,Eros Now,Romantic,115,9,Chintu Ji is a satirical comedy movie which focuses on the rivalry between two villages Hadbahedi and Triphla.
Rockstar,Romance,hindi,JioHotstar,Action,157,8,Rockstar is a Hindi romantic drama movie on a typical Delhi boy Janardhan (Ranbir Kapoor) who chases his dream to be a Rockstar. He falls in love with the most popular girl Heer (Nargis Fakhri) in Delhi University but it doesn't go so smoothly. Watch Rockstar to witness the journey of Janardhan from a heart broken boy to a popular Rockstar sensation who expresses his tragedy through his songs.
London Dreams,Drama,hindi,Zee,Drama,147,8,Arjun (Ajay) heads to London to become a singing sensation. What will happen when his best friend — Mannu — (Salman) beats him to it?
Table No. 21,Thriller,hindi,Sony,Comedy,106,9,"At first, a couple is thrilled to participate in a game show with a huge cash prize, until they find out that the game isn't for fun, it's for survival."
Dil Ne Jise Apna Kahaa,Romance,hindi,ETV,Horror,134,6,Rishabh and wife Pari lead a happy life until Pari meets with an accident and passes away. Later her heart gets transplanted into a girl named Dhani.
Happy Husbands,Comedy,hindi,Eros Now,Romantic,134,8,"HAPPY HUSBANDS is a fantastic movie about Husbands, their philosophy towards life and what they go through on a personal level after they are married."
Be-Careful,Mature,hindi,JioHotstar,Action,93,8,Two womanizing friends trapped in controlling marriages see a chance to have some fun on a Bangkok trip but get more than what they asked for.
Veer,Action,hindi,Zee,Drama,163,7,A Pindari prince goes to England to study military tactics so that he can avenge his people but instead ends up falling in love there.
5 Ghantey Mein 5 Crore,Thriller,hindi,Sony,Comedy,111,8,The story of chartered accountant Vikram and his keep Soniya who are waiting for another accountant Muqaadam to deliver 5 crores of cash at their farmhouse.
Tutiya Dil,Romance,hindi,ETV,Horror,127,8,"Karan and Rhea are in a relationship. When, Karan dumps her, she seeks shelter in her colleague Vishal's house. Tragedy strikes when Karan returns."
Chaalis Chauraasi (4084),Comedy,hindi,Eros Now,Romantic,120,9,A crime thriller with a touch of humour about four cops who see an opportunity to carve out a great future when an extraordinary mission comes their way.
Chaar Sahibzaade - Rise of Banda Singh Bahadur,Mature,hindi,JioHotstar,Action,134,6,Witness the extraordinary story of an immortal warrior.
Ambikapathy,Drama,tamil,Zee,Drama,138,9,"A small-town boy, Kundan, needs to break through the class divide to gain acceptance from his childhood love who is in love with big city ideals."
Janleva 555,Thriller,hindi,Sony,Comedy,136,7,"While making a movie about the hazards of snake bites, a young woman (Kalpana Pandit) comes to the realization that she was a serpent in a previous life."
One Two Three,Comedy,hindi,ETV,Horror,130,9,"Hell breaks loose in a comedy of errors when three men, all named Laxminarayan, cross paths for a common goal!"
Chalo Dilli,Comedy,hindi,Eros Now,Romantic,115,8,"Chalo Dilli is a Hindi comedy movie about Mihika (Lara Dutta) who is an executive banker, who misses her flight to Delhi. Manu (Vinay Pathak), an auto-rickshaw driver tries to help Mihika to reach her destination. Enroute, they discover the semblance and colors of urban and rural areas that make India. Watch Chalo Dilli to know if Mihika will reach her destination with Manu's help!"
Chaar Din Ki Chandni,Comedy,hindi,JioHotstar,Action,131,7,This comedy-drama with an essence of romance is set in a four-day wedding in Rajasthan.
