Title,Genre,Language,Platform,Mood,Runtime,Rating,Description
Aa Dekhen Zara,Thriller,hindi,Zee,Drama,117,6,A photographer has nothing going for him until he inherits a camera with an ability to predict the future but has to ultimately face the dark side of reality.
Overtime,Mature,hindi,Sony,Comedy,114,8,"Overtime is the story of Khushi who lives in Mumbai, working as a 'High Profile Call Girl' but with the dreams of becoming a heroine one day."
Ghar Ghar Ki Kahani,Drama,hindi,ETV,Horror,142,7,A drama about 2 neighboring families - one which is honest but poor and the other uses any means to rise up the ladder of wealth quickly.
Rajdhani Express,Action,hindi,Eros Now,Romantic,125,7,"Rajdhani Express is the story of Keshav, an errand boy for an arms trafficker who wants to escape his life of crime."
Banjo,Drama,hindi,JioHotstar,Action,135,7,"Taraat, a banjoist hailing from a poor background, and his associates get the offer of a lifetime when they are approached by Christina, a musician from the US."
Aa Eradu Varshagalu,Drama,kannada,Zee,Drama,126,7,"A gen-next couple, Varun and Varsha, keep their relationship limited to social media. What happens when their relationship comes out in the open?"
Roll No. 56,Drama,gujarati,Sony,Comedy,95,8,A 12-year-old is compelled to run away from his house after he’s unable to deal with the constant fights between his parents. Will he return?
Munna Michael,Action,hindi,ETV,Horror,139,7,"India's first ever dance-action film starring Tiger Shroff as a street dancer who turns dance guru for a gangster, Mahindar, played by Nawazuddin Siddiqui!"
Singham Returns,Action,hindi,Eros Now,Romantic,139,6,"India's favourite supercop returns to wipe out crime and bring justice to the innocent, this time in Mumbai against a powerful villain."
The Great Indian Butterfly,Mature,hindi,JioHotstar,Action,89,7,"In the quest of finding a magical insect in Goa, a couple embarks on a journey of love, happiness, and self-discovery."
Dhoom Dadakka,Comedy,hindi,Zee,Drama,133,8,Mungilal finds himself in a confusing scenario as 4 individuals randomly show up when he seeks out the rightful heir.
Mr. White Mr. Black,Comedy,hindi,Sony,Comedy,136,7,Gopi is on a mission to fulfil his father's last wish. Little did he know that he's getting into a series of madcap situations!
C/O Saira Banu,Comedy,malayalam,ETV,Horror,154,6,"Some relationships are beyond blood and family, such as a Muslim woman who shall move mountains to save her Christian son."
A Monsoon Date,Romance,hindi,Eros Now,Romantic,20,7,"A young woman decides to tell her date of a heartbreaking truth from her past. While she holds on to unreasonable hope, will he understand?"
Kidi,Action,kannada,JioHotstar,Action,113,8,Bhuvan's ill-temper lands him in a life and death situation when he takes on a gangster and his henchman. Will he manage to get out of this mess?
Yehi Hai Zindagi,Drama,hindi,Zee,Drama,130,8,"The movies plot revolves around Anand Narayan who hails from a poor family, which consists of his wife, Gayatri, daughter, Kamla and two sons Madhu and Govind."
Infected 2030,Drama,hindi,Sony,Comedy,23,6,"The film is set in 2030, where the pandemic has affected 25 crore people all over the world. A happy couple's life changes after the wife contracts the virus and her husband struggles to find a hospital bed. Hence, she is quarantined. But after two months, she misses her husband’s physical presence and gradually begins to lose patience. Will the pandemic take a toll on their marital life?"
Vandi,Comedy,tamil,ETV,Horror,131,6,"Three friends, struggling to survive in the city, find a bike, which unbeknownst to them is stolen, adding to their trouble. Will they be able to escape?"
Ottamuri Velicham,Drama,malayalam,Eros Now,Romantic,99,9,A newly wed Sudha struggles to survive with her sexually violent husband and decides to fight for her freedom. But will she succeed?
Trunk,Horror,kannada,JioHotstar,Action,138,7,"With a strong inhuman presence around him, Rahul sets out to fight the supernatural force. But will he succeed?"
Crack,Action,kannada,Zee,Drama,142,6,"While investigating a challenging case, a cop figures the link to solve the case, only to find out that he has too much to lose."
Halahal,Thriller,hindi,Sony,Comedy,97,9,The Murder of a college girl faked as a suicide takes Dr. Shiv on a journey to dig the truth on his daughter’s death.
Wedding Pullav,Comedy,hindi,ETV,Horror,121,8,"Karan and Anushka are best friends. When Karan marries Riya, Anushka is going to marry Jay. Does fate have a twist in store for them?"
Mukkabaaz,Action,hindi,Eros Now,Romantic,155,9,"Life of an aspiring boxer springs into action when he falls hopelessly in love with a high caste, mute girl, who happens to be related to his arch enemy."
Chandragiri,Drama,malayalam,JioHotstar,Action,138,8,Raghavan finds himself at a crossroads when he finds out about the school manager's ulterior agendas! Can he protect his school?
Izzatdaar,Drama,hindi,Zee,Drama,164,8,"Brahmdutt, a rich steel baron is falsely convicted in the murder of his best friend and business partner Premchand. When in prison, Brahmdutt finds out from sources that his son-in-law Indrajeet was behind this."
Aan,Drama,hindi,Sony,Comedy,161,8,"When Shamsher kidnaps Mangala, Jai retaliates by abducting Rajshree, the haughty sister of Shamsher."
Anokhi Ada,Drama,hindi,ETV,Horror,129,9,During his vagabond days Surendra meets a girl and falls in love with her. She is poor and after the loss of her father and younger brother decides to leave the city. Surendra confesses his love but a train accident while they were travelling separates them and she loses her memory. Will Surendra be able to trace her and remind her of their love is what the rest of the story is about.
Anmol Ghadi,Romance,hindi,Eros Now,Romantic,121,9,"A maudlin musical saga, famous for some immortal, gilded era songs. The film also has its share of deep emotions and some interesting semiotics."
Bewafai,Drama,hindi,JioHotstar,Action,145,9,"Asha loves Ashok & is very possessive about him. When she finds out that a girl name Renu is close to Ashok, she tries to teach her a lesson."
Hey Ram,Drama,hindi,Zee,Drama,199,6,"A period drama told in flashback, the semi-fictional plot centers around India's Partition and the assassination of Mahatma Gandhi."
Vighnaharta Shree Siddhivinayak,Drama,hindi,Sony,Comedy,130,9,Vighnaharta Shree Siddhivinayak is a film based on the real-life stories and of Shree Siddhivinayak experienced by devotees. Its a film about human values and beliefs.
Toffee - Short Film,Mature,hindi,ETV,Horror,18,9,"They wrap toffees, they share ice-lollies and dance out of rhythm to loud numbers. Will destiny let them have their piece of childhood or take it away?"
Zindagi Virat,Comedy,marathi,Eros Now,Romantic,140,7,A journey of a man who sets out to fulfil his father's last wish in this light-hearted drama that subtly underlines the importance of a father-son's relationship.
The Attacks of 26-11,Action,hindi,JioHotstar,Action,117,7,The Attacks of 26/11 pays tribute to the real heroes who safeguarded Mumbai & its people during its darkest hours.
Humein Tumse Pyar Ho Gaya Chupke Chupke,Romance,hindi,Zee,Drama,135,9,"Amidst the family drama, two childhood friends find love and must fight for their happy ending!"
Humayun,Drama,hindi,Sony,Comedy,107,9,"The film follows an unlikely friendship between two men who fought on opposite sides of a sprawling, vicious battle that tore their country apart."
Diary of a Butterfly,Mature,hindi,ETV,Horror,97,6,"Gul, an ambitious girl, goes to Mumbai to become successful by any means whatsoever, only to realise that all success comes at a price."
Band Baaja Babuchak,Comedy,gujarati,Eros Now,Romantic,125,9,Four eligible bachelors are struggling to persuade a multi-millionaire daughter for marriage. But who will she pick?
Mijaaj,Action,gujarati,JioHotstar,Action,119,9,"Three friends join hands to fight a local goon to save a lodge from being sold off, but will they succeed in their mission?"
Bobby,Comedy,malayalam,Zee,Drama,140,7,"Bobby gives up his seminary studies to marry a woman 7 years elder to him. They get married, but is it love or compromise?"
Meri Nimmo,Comedy,hindi,Sony,Comedy,90,8,Follow the life of an 8-year-old Hemu who tries to win a much older Nimmo over in his own innocent ways.
Sardaar Gabbar Singh,Action,hindi,ETV,Horror,164,6,A battle of good over evil ensues when a righteous cop sets out to rescue a village from the wrath of a cruel ruler.
No Smoking,Thriller,hindi,Eros Now,Romantic,126,8,"K, a chain-smoker, visits a rehabilitation center to quit smoking. He is released after he signs a cheque for 21 lakh rupees and is warned that his family will be killed if he dares to smoke again."
Aaj Ka Ravan,Action,hindi,JioHotstar,Action,128,8,"When Shankar comes across evidence against a culprit, little does he know that he has opened a Pandoras Box that will put four lives in danger?"
Preethiya Raayabhari,Action,kannada,Zee,Drama,136,8,Ravi and Nandini's lives change forever after their romantic getaway turns into their scariest nightmare.
Dhol Taashe,Action,marathi,Sony,Comedy,128,7,A young man's passion for music lands him in trouble when his ideology begins to conflict with the political party leader who hired him.
Asathoma Sadgamaya,Action,kannada,ETV,Horror,134,9,"While Raghava and Sandhya want to move out to the United States, Sherlin wants to come back when their lives go upside down with Khushi's mysterious death."
Paippin Chuvattile Pranayam,Drama,malayalam,Eros Now,Romantic,132,9,"Govutty and Teena are in love with each other, but their relationship faces too many obstacles. Will they be able to overcome these hurdles?"
Kelavu Dinagala Nanthara,Horror,kannada,JioHotstar,Action,100,7,A group of friends take off on a mini-vacation but little do they know that an unwelcome surprise awaits them. Can the group of friends handle the surprise?
Dunno Y... Na Jaane Kyon,Mature,english,Zee,Drama,137,7,A story of two people who find their love outside the confines of societal norms. Will they break through the stigmas of society or cave in?
Daal Mein Kuch Kaala Hai,Mature,hindi,Sony,Comedy,130,7,Daal Mein Kuch Kaala Hai is the humorous tale of a budding actress who must con a rich loser to become successful in Bollywood.
Ra.One - Tamil,Action,tamil,ETV,Horror,155,8,A video game developer's world spirals out of control when his shape-shifting indestructible virtual creation becomes all too real.
Aav Taru Kari Nakhu,Comedy,gujarati,Eros Now,Romantic,126,6,"A widower decides to remarry making his sons panic! Watch them hilariously try to sabotage their father’s marriage in this out-and-out Gujarati comedy-drama, Aav Taru Kari Nakhu."
Kulfi,Drama,kannada,JioHotstar,Action,121,6,What happens when three unsuspecting men are tricked by a schizophrenic woman into accompanying her to her estate?
Astitva,Mature,hindi,Zee,Drama,110,9,"When Aditi finds out she has been named the sole heir to the estate of an old acquaintance, her husband is puzzled and suspicious."
Amar,Drama,hindi,Sony,Comedy,137,6,"A well-respected lawyer, engaged to a socially-conscious young woman, has a moment of weakness that leaves an aftermath of guilt and heartbreak."
Main Aur Mera Haathi,Drama,hindi,ETV,Horror,135,8,"Wrongly imprisoned for a crime he did not commit in his youth, Ram seeks vengeance against Teja. Will he succeed in it?"
Hota Hai Dil Pyaar Mein Paagal,Romance,hindi,Eros Now,Romantic,119,7,Two friends fight it out to win the hand of the girl they love - and they will pull all stops to win her heart!
Andaz,Drama,hindi,JioHotstar,Action,140,7,Suspecting that his wife is having a relationship with another man he decides to take drastic steps. Steps that will change the lives of the trio forever.
Anari,Drama,hindi,Zee,Drama,129,9,"Poverty struck Raj and Poonam's love is put to test when Vikram, a well to do man comes in their lives! Will their love prevail?"
Hum Dil De Chuke Sanam,Drama,hindi,Sony,Comedy,188,7,"Hum Dil De Chuke Sanam is Hindi romantic drama movie about Nandini (Aishwarya Rai Bachchan), Sameer (Salman Khan) and Vanraj (Ajay Devgn). Sameer while studying Indian Classical Music under Nandini's father Pundit Darbar, falls in love Nandini. Against this love union, Pundit Darbar fixes her marriage with Vanraj. Watch Hum Dil De Chuke Sanam to see how this marriage impacts the three lives!"
Aavuj Reshe,Comedy,gujarati,ETV,Horror,144,8,Three good-for-nothing friends stumble upon an opportunity that changes their lives forever.
Barayan,Drama,marathi,Eros Now,Romantic,151,6,"Anirudh, a 12th standard student, juggles between day-to-day pressure, entrance tests, hostel fun, and friends."
Riktha,Comedy,kannada,JioHotstar,Action,111,8,The ghost of a young boy sees an actress who resembles the girl he was in love with. Will the girl realise his presence around her?
Dharasnan,Drama,bengali,Zee,Drama,143,7,What happens when Tomosa's drive to achieve her career goals lands her in a complicated situation with another woman?
Chaurahen-Crossroads,Drama,english,Sony,Comedy,87,7,"Chaurahen - Crossroads is an evocative and poignant composition consisting of three separate stories set in three different cities in contemporary India. Each revolves around love, life, and loss."
Chitthi,Comedy,marathi,ETV,Horror,102,7,"A rib-tickling comedy where one misplaced love letter ends up creating havoc in the lives of two lovers, a gang of kids and a postmaster!"
Baban,Drama,marathi,Eros Now,Romantic,141,9,"Baban (Bhausaheb Shinde), a college student from a small village is trying to run his milk business while balancing his studies & supporting his family. In an already complicated life, his nemesis Abhay keeps making things more difficult for him. Watch Baban, a Marathi tragic romance movie to see if an ambitious Baban will overcome all the obstacles that come in his way towards a prosperous life?"
Duniyadari,Drama,gujarati,JioHotstar,Action,143,9,"Revisit the 70s with this tale of love where three people find themselves caught in the web of love, friendship and heartbreaks!"
6ne Maili,Thriller,kannada,Zee,Drama,106,6,"An engaging thriller that revolves around a group of trekkers, who go missing without a trace at the 6th mile of the trekking zone. When more such cases come to light, a Police investigation reveals the truth behind these disappearances. The mysterious thriller is brought to life with a bone-chilling soundtrack by Grammy-winning music studio, Metropolis."
Bidrohini,Action,bengali,Sony,Comedy,128,6,"Bidrohini is a film that shows how an IPS officer who is also a sister, a daughter & wife seeks for justice, all alone."
Soulmate,Thriller,hindi,ETV,Horror,28,9,"In ""Soulmate"", Ada's unhealthy obsession with a married man, Abhishek, leads her to use black magic to switch bodies with his wife Kanika. Watch soulmates and find out what happens next."
Anwar Ka Ajab Kissa,Comedy,hindi,Eros Now,Romantic,126,7,"This is a story of Anwar (Nawazuddin Siddiqui), a clumsy private detective who often gets stuck in hilariously troublesome situations because of his habit of getting involved in the personal lives of his cases. While his life is about following people, he is still in search of himself, and he finally gets a chance to face a tragedy in his past when he lands a case to find Amol (Pankaj Tripathi)."
Life of Josutty,Comedy,malayalam,JioHotstar,Action,141,7,Life Of Josutty is the story of a man who after many trials and tribulations in his life manages to attain monumental success. But an unexpected epiphany leads him back to the straight and narrow path.
Bhavesh Joshi Superhero,Action,hindi,Zee,Drama,141,7,An extraordinary story of an ordinary superhero who cannot fly or swing; but fights for justice by exposing corruption and unmasking the truth.
Tamburo,Comedy,gujarati,Sony,Comedy,108,8,Two friends Hardik and Bhavik aspire to become rich quickly but become victims of their plans.
Sex Education,Drama,gujarati,ETV,Horror,135,6,"Sex Education is a film that highlights the importance of imparting sex education and normalizing it among the teenagers. It also aims at creating awareness about love, respecting your partners and their boundaries, STDs and much more."
Suryansh,Thriller,gujarati,Eros Now,Romantic,136,6,"An honest cop, Karan Rana, is on an investigation spree in the city when he discovers a crime syndicate. In a quest to find the truth, he digs deep to only find that everyone he trusts is involved in it. Watch Suryansh, a roller coaster ride of action, drama, mystery and betrayal."
2 Penkuttikal,Drama,malayalam,JioHotstar,Action,82,9,"Two young women skip class to visit a mall. When their plans take an unexpected turn, their lives are changed forever."
Oskar,Comedy,bengali,Zee,Drama,133,9,"What happens when Ratul, along with the entire Achinpore Rajwadi community, sets out to make an Oscar-nominated movie?"
Abyakto,Drama,bengali,Sony,Comedy,86,9,Catch this award-winning tale on the life of Indra and his mother!
Wass...up! Zindagi,Comedy,gujarati,ETV,Horror,140,8,"Bhavesh, Dharmesh, and Rehan set out on a journey that changes their lives forever."
Kesari,Drama,marathi,Eros Now,Romantic,134,9,"Kesari is a Marathi sports drama movie about Balram Jadhav, a young wrestler, whose only aim in life is to win The Maharashtra Kesari title! The film shows how Balram goes against his father's will who wants him to join his family business and how he continues to work towards his goal of winning the title. Watch Kesari to see if Balram will be successful in achieving his goals against all the odds."
Devdas,Drama,hindi,JioHotstar,Action,183,9,"Devdas is a tragic Hindi movie about Devdas (Shahrukh Khan) who returns home after studying for 10 years in London. Devdas shared a special bond with Paro (Aishwarya Rai) & wanted to marry her. But his family refuses Devdas's marriage to Paro, which shatters him and he turns to alcohol for solace. Watch Devdas to know whether he will come out of alcoholism & get the love of his life?"
Dictator - Telugu,Drama,telugu,Zee,Drama,141,7,"When the lives of his loved ones are in peril, an affluent businessman takes on the identity of a commoner to fight evil."
Chakradhaar,Action,hindi,Sony,Comedy,123,8,The movie is set in Banaras in today's time of politics and corruption. Shravan is a simple but righteous son of a peon who joins Banaras University for his post graduation on his father's insistence.
Kattu Kathe,Comedy,kannada,ETV,Horror,150,8,"Kattu Kathe is a Kannada comedy thriller movie about Ram, who falls in love with Aadhaya and woos her without revealing that he has a hearing disability. When Aadhaya and her friends are abducted by a gang of murderers, Rajesh, a cop, steps in to solve the case. Watch Kattu Kathe to find out if Rajesh succeeds in rescuing them!"
Kaththi,Action,tamil,JioHotstar,Action,141,6,A criminal impersonating a social worker to escape the cops ends up fighting for his doppelganger’s mission to save a village from exploitation.
Tamizhukku En Ondrai Azhuthavam,Comedy,tamil,Zee,Drama,141,9,"A deadly bomb will be activated if a computer geek restores a city's mobile networks, which are down due to a solar flare."
Gotya,Comedy,marathi,ETV,Horror,132,7,"Gotya is a Marathi sports drama based on a school kid fascinated with playing marbles ever since his first game. While studying in school, a young Gotya wonders why the game of marbles is not listed in the Olympics. Watch Gotya seek out a journey to get his favourite game recognized as an official sport in India. With the odds set against him, will Gotya succeed in making his dream a reality?"
Provoked - Hindi,Drama,hindi,JioHotstar,Action,103,8,A true story of an Indian woman incarcerated for murdering her abusive husband who had her conviction overturned in a case that changed British law.
Posto,Drama,bengali,Zee,Drama,141,6,A little boy is caught between two generations of parents as they battle the reasons to be his rightful guardians.
Golmaal 3,Comedy,hindi,Sony,Comedy,139,8,"Cupid strikes when Pritam, a single father, comes across his college sweetheart, Geeta, in Goa. But with their respective children at war with each other, the two find it difficult to reunite."
Ganagandharvan,Comedy,malayalam,ETV,Horror,138,7,"Ganagandharvan is a Malayalam comedy drama movie about Kalasadhan Ullas (Mammootty), an aspiring stage singer. The movie revolves around Ullas, his journey & fight towards becoming successful. In the process of achieving his goal, he comes across an opportunistic woman & father who conspire against him. Watch Ganagandharvan to see all the ups & downs Kalasadhan goes through in his life."
Rajini Murugan,Comedy,tamil,Zee,Drama,141,9,"Rajini Murugan, an unemployed youth, falls in love with Karthika, his cousin. But Karthika's father opposes the match."
Praktan,Drama,bengali,Sony,Comedy,141,6,Praktan is a journey of memories and realization between two different women who meet on a train and gradually find out about each other’s lives.
Boyz 2,Comedy,marathi,ETV,Horror,141,7,"This Time Boyhood Turns to Adulthood..!! Sit back and Enjoy Boyz 2 Trailer. Movie starring Sumant Shinde, Parth Bhalerao and Pratik Lad. Movie Directed by Vishal Sakharam Devrukhkar."
Darling,Horror,tamil,Eros Now,Romantic,141,9,Four depressed youngsters plan to kill themselves together but instead grow close and find a reason to live. That’s when a ghost enters the picture.
Neerparavai,Drama,tamil,Sony,Comedy,141,8,Neerparavai is the twisted tale of a son discovering the emotional and literal skeletons in his lonely old mother’s life.
Oru Yamandan Premakadha,Comedy,malayalam,Eros Now,Romantic,163,6,"Oru Yamadan Premakadha is a Malayalam comedy-drama movie about Lallu and his friends looking for a missing girl, Diya."
Welcome Back,Comedy,hindi,JioHotstar,Action,148,6,"A pair of reformed gangsters try to find a husband for their sister they dot upon, but hilarious complications arise due to mistaken identities!"
Sardaar Gabbar Singh - Telugu,Action,telugu,Zee,Drama,141,7,A battle of good over evil ensues when a righteous cop sets out to rescue a village from the wrath of a cruel ruler.
Julie,Drama,hindi,Sony,Comedy,144,7,A film about the restrictive social conventions regarding inter-caste marriage and unwed motherhood in India.
Pension,Drama,marathi,ETV,Horror,90,8,"Here's a family of three — Balu, his mother, and grandmother. They survive on his grandfather's pension of rupees eight hundred a month. Once Balu starts going to school, the expenses increase and unfortunately, the grandmother falls ill. Find out how this family struggles to survive against all odds."
That Man In The Picture,Mature,hindi,Eros Now,Romantic,18,6,The guilt of inaction haunts the man who witnesses a gruesome crime. What will he do next?
Belaseshe,Drama,bengali,JioHotstar,Action,141,6,"When Biswanath Mazumdar announces his decision to divorce his wife after 49 years, he sends his large extended family into drama and turmoil."
Saajan,Romance,hindi,Zee,Drama,180,7,"Sajaan is about Aman (Sanjay Dutt) & Akash (Salman Khan) who grew up together like brothers post Akash's father adopted Aman. Both with poles apart personalities, fall for the same girl - Pooja Saxena (Madhuri Dixit). Pooja happens to be Aman's poetry's fan & unknowingly falls for Akash, thinking he is the poet! Watch Saajan to know how their lives take a turn in this gut wrenching love triangle."
Ab Hoga Dharna Unlimited,Comedy,hindi,Sony,Comedy,78,6,Opposition neta Gopinath wants Baba Lakshman Dev to do dharna - and bring the government down. Will these plans get executed?
Kaadan,Action,tamil,ETV,Horror,141,8,"When man's greed takes over, the jungle rises for an epic war. Will good win over evil? The battle has just begun."
Asehi Ekada Vhave,Drama,marathi,Eros Now,Romantic,119,8,"In a bid to woo Kiran, a popular radio jockey, Siddharth offers her to be a part of his company's radio campaign but unexpected situations affect the fate of their budding relationship."
Bubble Gum,Family,hindi,Zee,Drama,116,6,"A coming-of-age story set in Jamshedpur, on the life of a teenager, no longer a kid, not yet an adult."
Alifa,Drama,bengali,Sony,Comedy,109,6,Alifa and her family struggle with the hardships of the city life as they are forced to leave their village due to rampant floods and erosion.
Conditions Apply,Drama,marathi,ETV,Horror,112,8,Conditions Apply explores new age relationships and how everything is more about acceptance today rather than compromise. But is that all it takes to make a relationship work?
Karaar,Drama,marathi,Eros Now,Romantic,117,7,"Unable to conceive a child, a married couple turns to surrogacy but find themselves in a strange situation."
Khajoor Pe Atke,Comedy,hindi,JioHotstar,Action,118,6,"Devender Sharma fights for his life in the ICU while all his relatives come from across the country to see him, expecting the inevitable. Things turn hilarious when he neither dies nor gets better, leaving his relatives stuck with his wife and son."
Kintu Galpo Noy,Drama,bengali,Zee,Drama,111,9,Shikha and Deep meet at the Students Health Home while dealing with their respective illnesses and form a very special bond.
Jojo,Horror,bengali,Sony,Comedy,80,7,Mrittika is assigned a bizarre task of babysitting an eerie-looking doll named Jojo. Will she be able to deal with it or will Jojo add yet another dark twist in her life?
Commrade,Drama,bengali,ETV,Horror,84,6,Nandini and Radharani against all odds take up the leadership of a movement for the farmers against the government over a land dispute!
Pagalpanti,Comedy,gujarati,Eros Now,Romantic,148,9,"A tourist group from India sets out on a vacation, only to have their trip turn into a patriotic mission. Will it end well for them?"
Madura Veeran,Action,tamil,JioHotstar,Action,119,6,"Packed with action, suspense and a gripping climax is the story of a man who returns to India to marry, but his one true motive is darker than you think!"
Othello,Drama,assamese,Zee,Drama,109,9,A rickshaw driver meets an escort at a police station and the two form a special bond soon but will it last long?
Bedhadak,Action,marathi,Sony,Comedy,126,9,Will the gifted and passionate boxer Ajay overcome the hurdles that come his way and be able to achieve his goal?
Gavthi,Drama,marathi,ETV,Horror,152,9,"Gavthi is a Marathi romantic movie about a young village boy Gajanan (Shrikant Patil) - his rags to riches story and all the struggles he lives through. Success came with enormous sacrifices for Gajanan, who gave up everything, including his childhood love, to make it big in the city! Watch Gavthi to know how Gajanan became successful & whether he actually got over his childhood love!"
Bhagshesh,Drama,bengali,Eros Now,Romantic,110,6,"A tale of unconditional love, Bhagshesh shows the bond between Madhumanti and her seven-year-old stepdaughter Pooja."
Antareen,Drama,assamese,JioHotstar,Action,122,6,Her quest to get her father’s love and attention lands Torali in a mental asylum. But will she find her way out?
Pornomochi,Drama,bengali,Zee,Drama,115,7,"Trapped in a world of fantasy and pornography, will a teenaged boy find his way out of this addiction?"
Hoyto Manush Noy,Horror,bengali,Sony,Comedy,92,7,"To make their cab ride home a little fun, 5 working professionals start telling spooky stories to each other, turning this into a ride they'll never forget."
MO,Comedy,tamil,ETV,Horror,128,7,"A Horror comedy where five people plan to spook a businessman to earn quick money, not realizing that the place is actually haunted!"
Juvva,Action,telugu,Eros Now,Romantic,126,7,"Rana, a conman, falls in love with a rich girl, Shruti. He soon learns that she is being chased by a criminal and tries to save her. Will he succeed?"
Kaya: The Mystery Unfolds,Mystery,bengali,JioHotstar,Action,119,6,"Trapped in a remote location, will a filmmaker and his team escape the unseen and mysterious presence that looms over them?"
Yogi Duniya,Drama,kannada,Zee,Drama,139,6,"After an easy-going Yogi falls in love with Sheela, he finds out some shocking revelations about her. What happens next?"
Guha Manab - The Caveman,Drama,bengali,Sony,Comedy,122,8,What will Pinky do when she stumbles upon the mysterious caveman who she has been getting strange dreams of?
Mithun,Drama,marathi,ETV,Horror,133,8,"Despite being together for a while, Mithun and Kanchi don't seem to be serious about their relationship. Will the two ever find love and commitment?"
Haanduk,Drama,assamese,Eros Now,Romantic,83,7,"Despite having to deal with the loss of her only son, Heramoni attempts to lead a normal life in hopes of having her dreams fulfilled."
Baranda,Drama,bengali,JioHotstar,Action,130,9,Girija's insecurities take over his mind as he suspects that his partner Runu is falling in love with a paying guest.
Dr. Tatya Lahane - Angaar..Power is within,Drama,marathi,Zee,Drama,149,9,Watch the inspiring tale of Tatya Lahane who grew up to become a great eye doctor despite being born to a poor family.
Shobdo Kolpo Droom,Drama,bengali,Sony,Comedy,87,7,"When the city falls prey to terrorist activities, a bunch of special kids takes it on themselves to save the city. But will they succeed?"
Aranya,Action,telugu,ETV,Horror,141,7,"In the chaos of the jungle, a war is brewing. Trumpets roar as the elephants prepare for battle. Man or nature, which side will you be on?"
Mera Punjab,Action,hindi,Eros Now,Romantic,158,7,"Mera Punjab is a 1994 Indian Punjabi film, directed and produced by Darshan Bagga. The film stars Shatrughan Sinha, Joginder Shelly, Guggu Gill, Daljit Kaur and Darshan Bagga in lead roles."
Jo Dooba So Paar,Comedy,hindi,Zee,Drama,90,6,Keshu is hardly interested in the routine business of life. His life changes when he meets an Indian-Italian girl who is in India as part of her research.
Hudugatada Hudugi,Romance,kannada,Sony,Comedy,146,7,"Hudugatada Hudugi is a 1970 an Indian kannada film directed by Amrutham .The film stars Sampath, Shreenath and Sampath in the lead roles. Music of the film was composed by M Ranga Rao."
Server Somanna,Comedy,kannada,ETV,Horror,114,8,"Server Somanna is 1993 an Indian kannada film directed by K.Vasu and produced by Hariprasad.The film stars Jaggesh, Rambha, Dwarakish and Abhijit in the lead roles."
Giri Baale,Drama,kannada,Eros Now,Romantic,133,8,"Giri Baale is a 1985 Indian Kannada film, directed by Dorai and Bhaghavaan. The film stars Jayamala, Rajkumar and Sampath in lead roles. The film had musical score by Rajan-Nagendra."
Shivanna,Drama,kannada,JioHotstar,Action,123,8,"Shivanna is a 1993 an Indian kannada film directed by G.K.Mudduraaj and produced by Srinivas.The film stars Jaggesh, Ashalatha, Vani and PChiranjeevi in the lead roles. Music of the film was composed by V.Manohar."
Hettavala Koogu,Drama,kannada,Zee,Drama,132,8,"Hettavala Koogu is a 1996 an Indian kannada film directed by V.Umashankar and produced by K V Jaji.The film stars Abhijit, Sitara, Rajesh,Pramila Joshai and Bank Janardhan in the lead roles. Music of the film was composed by Vijaya Bhaskar."
Miss Leelavathi,Drama,kannada,Sony,Comedy,162,8,Leelavathi is brought up by her father as a liberal and modern woman. This leads society to ridicule his parenting skills.
Ganda Mane Makkulla,Drama,kannada,ETV,Horror,140,6,"Ganda Mane Makkulla is a 1988 Indian Kannada film, directed by T P Ganjendra and produced by Dwarakish. The film stars Dwarakish, Sudha Rani, Shreenath, Vaanishri and Vanitha Vaasu in lead roles. The film had musical score by Vijay Anand."
Sedina Hakki,Drama,kannada,Eros Now,Romantic,136,9,"Sedina Hakki is a 1985 an Indian kannada film directed by Bhaghavaan and Dorai and produced by Mohan Sharma.The film stars Ananth Nag, Lakshmi, Ramesh Bhat and Rajiv in the lead roles. Music of the film was composed by Rajan-Nagendra."
Mummy Punjabi,Comedy,hindi,JioHotstar,Action,121,9,"Mummy Punjabi' is the story of Baby, a new age urban Punjabi mother, who is an entertainer and knows how to strike a balance between tradition and progressive mind."
Chowkada Deepa,Drama,kannada,Zee,Drama,151,9,"Chowkada Deepa is a 1969 Indian Kannada film, directed by G.V.Iyer. The film stars Pandharibai, Rajendra Kumar and Ananthrao Machere in lead roles."
Golibar,Romance,kannada,Sony,Comedy,128,9,"Golibar is 1993 an Indian kannada film directed by Shivamani and produced by Ramu The film stars Suresh Heblikar, Shweta and Vishaka in the lead roles. Music of the film was composed by Hamsalekha."
Kadana,Drama,kannada,ETV,Horror,129,8,"Kadana is a 1991 an Indian Kannada film directed by K.V.Raju and produced by Venu Gopal.The film stars Ramakrishna, Devaraj and Sangeetha in the lead roles."
International Hero,Action,hindi,Eros Now,Romantic,118,7,"Struggling to avoid communal rights between the Hindu and Muslims, what will a righteous Muslim man do?"
Ek Adbhut Dakshina - Guru Dakshina,Drama,hindi,JioHotstar,Action,121,7,"An orphaned boy Dev is adopted by Guruji and brought to his dance academy in Kolkata. Dev falls for Guruji's daughter, Sanjukta, but she finds herself seduced by Chhau dancer Gambhira instead, who seems like a man of dubious intent. He not only ruins Sanjukta's life but also his Guruji’s. Will Dev come to help them?"
The Revenge - Geeta Mera Naam,Mature,hindi,Zee,Drama,108,6,"When her father is killed by his rival political leader, Geeta sets out to avenge his death in this high-octane action drama starring Dharmendra."
